pc_time,gps_time,tow(sec),north(meters),east(meters),down(meters),h_accuracy(meters),v_accuracy(meters),distance(meters),num_sats,flags,num_hypothesis
2018-06-02 18:24:53.003000,2018-06-02 22:25:11.900000,599111.900,-43.8370,-94.1870,-1.3100,0.3570,0.7520,103.8970,10,3,0
2018-06-02 18:24:53.147000,2018-06-02 22:25:12.000000,599112.000,-43.8340,-94.1870,-1.3110,0.3570,0.7520,103.8958,10,3,0
2018-06-02 18:24:53.212000,2018-06-02 22:25:12.100000,599112.100,-43.8330,-94.1870,-1.3120,0.3570,0.7520,103.8954,10,3,0
2018-06-02 18:24:53.339000,2018-06-02 22:25:12.200000,599112.200,-43.8320,-94.1870,-1.3170,0.3570,0.7520,103.8950,9,3,0
2018-06-02 18:24:53.406000,2018-06-02 22:25:12.300000,599112.300,-43.8300,-94.1870,-1.3150,0.3570,0.7520,103.8941,10,3,0
2018-06-02 18:24:53.525000,2018-06-02 22:25:12.400000,599112.400,-43.8410,-94.1900,-1.3190,0.3570,0.7520,103.9015,10,3,0
2018-06-02 18:24:53.610000,2018-06-02 22:25:12.500000,599112.500,-43.8450,-94.1890,-1.3250,0.3570,0.7520,103.9024,10,3,0
2018-06-02 18:24:53.712000,2018-06-02 22:25:12.600000,599112.600,-43.8440,-94.1890,-1.3230,0.3570,0.7520,103.9019,9,3,0
2018-06-02 18:24:53.797000,2018-06-02 22:25:12.700000,599112.700,-43.8430,-94.1890,-1.3260,0.3570,0.7520,103.9016,10,3,0
2018-06-02 18:24:53.941000,2018-06-02 22:25:12.800000,599112.800,-43.8460,-94.1880,-1.3280,0.3570,0.7520,103.9019,10,3,0
2018-06-02 18:24:54.000000,2018-06-02 22:25:12.900000,599112.900,-43.8450,-94.1890,-1.3250,0.3570,0.7520,103.9024,10,3,0
2018-06-02 18:24:54.162000,2018-06-02 22:25:13.000000,599113.000,-43.8460,-94.1900,-1.3210,0.3570,0.7520,103.9037,10,3,0
2018-06-02 18:24:54.240000,2018-06-02 22:25:13.100000,599113.100,-43.8450,-94.1880,-1.3220,0.3570,0.7520,103.9014,10,3,0
2018-06-02 18:24:54.330000,2018-06-02 22:25:13.200000,599113.200,-43.8460,-94.1880,-1.3290,0.3570,0.7520,103.9020,10,3,0
2018-06-02 18:24:54.417000,2018-06-02 22:25:13.300000,599113.300,-43.8460,-94.1880,-1.3300,0.3570,0.7520,103.9020,10,3,0
2018-06-02 18:24:54.531000,2018-06-02 22:25:13.400000,599113.400,-43.8440,-94.1890,-1.3250,0.3570,0.7520,103.9020,10,3,0
2018-06-02 18:24:54.639000,2018-06-02 22:25:13.500000,599113.500,-43.8440,-94.1890,-1.3280,0.3570,0.7520,103.9020,10,3,0
2018-06-02 18:24:54.745000,2018-06-02 22:25:13.600000,599113.600,-43.8430,-94.1880,-1.3250,0.3570,0.7520,103.9006,10,3,0
2018-06-02 18:24:54.799000,2018-06-02 22:25:13.700000,599113.700,-43.8430,-94.1880,-1.3290,0.3570,0.7520,103.9007,10,3,0
2018-06-02 18:24:54.914000,2018-06-02 22:25:13.800000,599113.800,-43.8400,-94.1880,-1.3270,0.3570,0.7520,103.8994,10,3,0
