pc_time,gps_time,tow(sec),north(m/s),east(m/s),down(m/s),speed(m/s),flags,num_signals
2018-06-02 18:24:52.988000,2018-06-02 22:25:11.900000,599111.900,0.014000,0.014000,0.118000,0.019799,6,11
2018-06-02 18:24:53.143000,2018-06-02 22:25:12.000000,599112.000,0.033000,0.003000,-0.031000,0.033136,6,11
2018-06-02 18:24:53.202000,2018-06-02 22:25:12.100000,599112.100,-0.023000,0.005000,0.005000,0.023537,6,11
2018-06-02 18:24:53.323000,2018-06-02 22:25:12.200000,599112.200,0.023000,-0.005000,-0.022000,0.023537,6,10
2018-06-02 18:24:53.395000,2018-06-02 22:25:12.300000,599112.300,-0.012000,0.009000,0.041000,0.015000,6,11
2018-06-02 18:24:53.517000,2018-06-02 22:25:12.400000,599112.400,-0.024000,0.002000,0.070000,0.024083,6,11
2018-06-02 18:24:53.599000,2018-06-02 22:25:12.500000,599112.500,-0.028000,0.006000,-0.096000,0.028636,6,11
2018-06-02 18:24:53.701000,2018-06-02 22:25:12.600000,599112.600,0.038000,0.000000,0.034000,0.038000,6,10
2018-06-02 18:24:53.788000,2018-06-02 22:25:12.700000,599112.700,0.044000,-0.011000,-0.052000,0.045354,6,11
2018-06-02 18:24:53.931000,2018-06-02 22:25:12.800000,599112.800,0.000000,0.011000,-0.013000,0.011000,6,11
2018-06-02 18:24:53.984000,2018-06-02 22:25:12.900000,599112.900,0.009000,-0.001000,0.103000,0.009055,6,11
2018-06-02 18:24:54.149000,2018-06-02 22:25:13.000000,599113.000,0.037000,-0.011000,0.066000,0.038601,6,11
2018-06-02 18:24:54.230000,2018-06-02 22:25:13.100000,599113.100,-0.044000,0.009000,-0.103000,0.044911,6,11
2018-06-02 18:24:54.316000,2018-06-02 22:25:13.200000,599113.200,0.080000,0.001000,0.005000,0.080006,6,11
2018-06-02 18:24:54.407000,2018-06-02 22:25:13.300000,599113.300,-0.048000,0.006000,0.009000,0.048374,6,11
2018-06-02 18:24:54.521000,2018-06-02 22:25:13.400000,599113.400,0.012000,-0.009000,0.037000,0.015000,6,11
2018-06-02 18:24:54.626000,2018-06-02 22:25:13.500000,599113.500,0.033000,0.001000,0.017000,0.033015,6,11
2018-06-02 18:24:54.734000,2018-06-02 22:25:13.600000,599113.600,-0.005000,0.004000,0.031000,0.006403,6,11
2018-06-02 18:24:54.788000,2018-06-02 22:25:13.700000,599113.700,0.015000,0.007000,-0.001000,0.016553,6,11
2018-06-02 18:24:54.901000,2018-06-02 22:25:13.800000,599113.800,-0.012000,0.002000,0.036000,0.012166,6,11
2018-06-02 18:24:54.987000,2018-06-02 22:25:13.900000,599113.900,0.037000,-0.010000,-0.081000,0.038328,6,11
